国連による世界地理区分,国名,地域名,ヒジャブの出現率,解説,地域ID,地図番号,地図の範囲,地域統計（宗教人口比率）,全国参考値（宗教人口比率・2020年）,服装の根拠,出典ID,出典URL
南アジア,インド,北部ラクナウ周辺,やや高い,都市内にムスリム生活圏がある。過去のイスラム王朝の首都という歴史だけで周辺全域を「高い」にしない。,IND-lucknow,057,位置の目印（面積を持たない）,State - UTTAR PRADESH: 19.26% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,東部（バングラデシュの北西側、ビハール州東端）,やや高い,キシャンガンジなどの人口集積。北東部全体ではなく、バングラデシュの北西側を覚える。,IND-bihar-east,058,緯度経度で囲った概略,Kishanganj district: 67.98% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,CENSUS2011_KISHANGANJ; PEW_IND_DRESS; PEW2025,https://www.census2011.co.in/data/religion/district/62-kishanganj.html; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,東部（バングラデシュ国境の西側）,やや高い,西ベンガル州の東寄りの地区。国境全線がムスリム多数という意味ではなく、コルカタなどにも混在する。,IND-bengal,059,緯度経度で囲った概略,District - Murshidabad: 66.27% (2011年) / District - Maldah: 51.27% (2011年) / District - Nadia: 26.76% (2011年) / District - South Twenty Four Parganas: 35.57% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,北東部（バングラデシュ北側の低地）,やや高い,アッサム州の西部低地・バングラデシュに近い側。北東インドの山地全体へ広げない。,IND-assam,060,緯度経度で囲った概略,District - Dhubri: 79.67% (2011年) / District - Goalpara: 57.52% (2011年) / District - Barpeta: 70.74% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,南西部（コジコード周辺～その北・南の海岸）,やや高い,北ケララのマラバール海岸。コジコードの英語旧称はカリカットで、東部のコルカタ（カルカッタ）とは別都市。マラップラムなど地区差がある。,IND-malabar,061,緯度経度で囲った概略,District - Kozhikode: 39.24% (2011年) / District - Malappuram: 70.24% (2011年) / District - Kannur: 29.43% (2011年) / District - Kasaragod: 37.24% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; KOZHIKODE; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://kozhikode.nic.in/en/about-district/history/; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,南西沖の小島群（ラクシャドウィープ）,やや高い,ケララ州沖の島々。人口構成はムスリム多数だが島別のヒジャブ着用率は未取得なので保守的に「やや高い」。,IND-lakshadweep,062,行政区を束ねた概略,State - LAKSHADWEEP: 96.58% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,南中部ハイデラバード旧市街周辺,やや高い,デカン高原内陸の独立した候補。南西海岸のコジコードとは離れている。,IND-hyderabad,063,位置の目印（面積を持たない）,State - ANDHRA PRADESH: 9.56% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,西岸ムンバイの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,IND-mumbai,064,位置の目印（面積を持たない）,District - Mumbai: 25.06% (2011年) / District - Mumbai Suburban: 19.19% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,中部ボパールの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,IND-bhopal,065,位置の目印（面積を持たない）,State - MADHYA PRADESH: 6.57% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,インド,南部ベンガルールの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,IND-bengaluru,066,位置の目印（面積を持たない）,District - Bangalore: 12.97% (2011年),15.2%,服装調査あり（地図の各範囲を直接測定したものではない）,IND_C01; PEW_IND_DRESS; PEW2025,https://censusindia.gov.in/nada/index.php/catalog/11361; https://www.pewresearch.org/religion/2021/06/29/religious-clothing-and-personal-appearance/; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,ネパール,南部の低地（インド国境沿いの中西部・東部）,やや高い,タライ低地のムスリム居住集落。地形に沿って手描きした概略で、集落の正確な境界ではない。,NPL-terai,067,手描きの概略,地域別数値は未取得,5.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-NPL,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/nepal/
南アジア,スリランカ,東部海岸（トリンコマリー～アンパラ）,やや高い,2024年の宗教別人口はトリンコマリー46.5%、アンパラ45.6%、バッティカロア27.1%。東部全域で女性の多数が着用するとの実測値ではない。,LKA-east,068,行政区を束ねた概略,Trincomalee: 46.50% (2024年) / Ampara: 45.60% (2024年) / Batticaloa: 27.10% (2024年),10.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,LKA2024; PEW2025,https://www.statistics.gov.lk/Slider/Census2024_En; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,スリランカ,北西部海岸（プッタラム～マンナール）,やや高い,離れた東海岸と別に覚える。2024年のムスリム人口はプッタラム21.6%、マンナール27.4%。,LKA-northwest,069,行政区を束ねた概略,Puttalam: 21.60% (2024年) / Mannar: 27.40% (2024年),10.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,LKA2024; PEW2025,https://www.statistics.gov.lk/Slider/Census2024_En; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,スリランカ,西部コロンボの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,LKA-colombo,070,位置の目印（面積を持たない）,Colombo: 12.60% (2024年),10.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,LKA2024; PEW2025,https://www.statistics.gov.lk/Slider/Census2024_En; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
南アジア,スリランカ,中部キャンディ周辺の一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,LKA-kandy,071,位置の目印（面積を持たない）,Kandy: 15.30% (2024年),10.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,LKA2024; PEW2025,https://www.statistics.gov.lk/Slider/Census2024_En; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,西部スマトラ島（北端アチェ・西部・南部など）,高い,ムスリム多数の州をまとめる。北スマトラ州のバタク高地などを一括で同色にしない。,IDN-sumatra,072,行政区を束ねた概略,11. NANGGROE ACEH DARUSSALAM: 98.19% (2010年) / 13. SUMATERA BARAT: 97.42% (2010年) / 14. RIAU: 87.98% (2010年) / 15. JAMBI: 95.41% (2010年) / 16. SUMATERA SELATAN: 96.89% (2010年) / 17. BENGKULU: 97.29% (2010年) / 18. LAMPUNG: 95.48% (2010年) / 19. KEPULAUAN BANGKA BELITUNG: 89.00% (2010年) / 21. KEPULAUAN RIAU: 79.34% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,スマトラ島北部（メダン周辺を含む北スマトラ州）,やや高い,州全体は宗教が混在する。トバ湖周辺・西沖の島々と東岸の都市で差が大きい。,IDN-north-sumatra,073,行政区を束ねた概略,12. SUMATERA UTARA: 66.09% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,南西部ジャワ島（ジャカルタを含む）,高い,インドネシアの人口集積の中心。全国ムスリム女性調査の通常着用61.9%（2022年）を参照するが、各州の実測率ではない。,IDN-java,074,行政区を束ねた概略,32. JAWA BARAT: 97.00% (2010年) / 33. JAWA TENGAH: 96.74% (2010年) / 35. JAWA TIMUR: 96.36% (2010年) / 31. DKI JAKARTA: 85.36% (2010年) / 36. BANTEN: 94.67% (2010年) / 34. DI YOGYAKARTA: 91.95% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,南部のロンボク島・スンバワ島（バリの東隣）,高い,バリ島と、さらに東のフローレス島・ティモール島を同一視しない。,IDN-lombok,075,行政区を束ねた概略,52. NUSA TENGGARA BARAT: 96.47% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,ボルネオ島の南部・東部,高い,南部・東部の州。州内の森林集落や少数宗教地域には差がある。旧東カリマンタン州の範囲には現在の北カリマンタン州を含む。,IDN-borneo-se,076,行政区を束ねた概略,63. KALIMANTAN SELATAN: 96.67% (2010年) / 64. KALIMANTAN TIMUR: 85.38% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,ボルネオ島の西部・中部,やや高い,ムスリム・キリスト教徒などが混在。海岸都市と内陸で差がある。,IDN-borneo-wc,077,行政区を束ねた概略,61. KALIMANTAN BARAT: 59.22% (2010年) / 62. KALIMANTAN TENGAH: 74.31% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,中央東部スラウェシ島（北東端を除く）,やや高い,ムスリム多数の州だが、トラジャ高地など州内の宗教差が大きいため保守的に「やや高い」。北東端のマナド周辺を除く。,IDN-sulawesi,078,行政区を束ねた概略,73. SULAWESI SELATAN: 89.62% (2010年) / 76. SULAWESI BARAT: 82.66% (2010年) / 74. SULAWESI TENGGARA: 95.23% (2010年) / 72. SULAWESI TENGAH: 77.72% (2010年) / 75. GORONTALO: 97.81% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,東部マルク諸島,やや高い,島ごとの宗教差が大きい。パプア全体をムスリム地域として塗らない。,IDN-maluku,079,行政区を束ねた概略,81. MALUKU: 50.61% (2010年) / 82. MALUKU UTARA: 74.28% (2010年),87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,インドネシア,南部バリ島デンパサールの一部,やや高い,バリ島はヒンドゥー教徒が多数。ムスリム居住地区の補足候補を点で示し、島全体は無着色とする。,IDN-bali-denpasar,080,位置の目印（面積を持たない）,地域別数値は未取得,87.0%,服装調査あり（地図の各範囲を直接測定したものではない）,BPS2010; ISEAS2022; PEW2025,https://sensus.bps.go.id/topik/tabular/sp2010/12/91622/1; https://www.iseas.edu.sg/wp-content/uploads/2023/01/TRS3_23.pdf; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,マレーシア,マレー半島の北部・東岸,高い,クランタン州では2020年にムスリム95.5%。半島の北東部を特に覚える。数値は宗教人口。,MYS-peninsula-east,081,行政区を束ねた概略,Kelantan: 95.50% (2020年),64.1%,服装の質的資料あり／地域の率は未取得,DOSM2020; MYS_DRESS; PEW2025,https://www.statistics.gov.my/uploads/publications/20221014150434.pdf; https://jpmm.um.edu.my/article/view/5983; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,マレーシア,マレー半島の西岸・南部（クアラルンプール周辺など）,やや高い,都市ごとにムスリム・仏教徒・ヒンドゥー教徒などが混在。北東部と同率にしない。,MYS-peninsula-west,082,行政区を束ねた概略,地域別数値は未取得,64.1%,服装の質的資料あり／地域の率は未取得,PEW2025; MYS_DRESS,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://jpmm.um.edu.my/article/view/5983
東南アジア,マレーシア,ボルネオ島北東部（サバ州）,やや高い,海岸部のムスリム生活圏と内陸の宗教構成には差がある。,MYS-sabah,083,行政区を束ねた概略,地域別数値は未取得,64.1%,服装の質的資料あり／地域の率は未取得,PEW2025; IRF-MYS; MYS_DRESS,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/malaysia/; https://jpmm.um.edu.my/article/view/5983
東南アジア,マレーシア,ボルネオ島北西部クチンの一部,やや高い,サラワク州全域は塗らず、都市のムスリム生活圏を補足する。,MYS-kuching,084,位置の目印（面積を持たない）,地域別数値は未取得,64.1%,服装の質的資料あり／地域の率は未取得,PEW2025; IRF-MYS; MYS_DRESS,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/malaysia/; https://jpmm.um.edu.my/article/view/5983
東南アジア,ブルネイ,全域（住民の生活圏）,高い,ボルネオ島北岸の小国。頭を覆うトゥドゥンが見られる生活圏。外国人や宗教少数派まで一律ではない。,BRN-all,085,国・地域全体,地域別数値は未取得,82.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,タイ王国,最南部（マレーシア国境近く）,高い,マレー系ムスリムが多い南端。半島南部全域が同じ宗教構成ではない。,THA-deep-south,086,行政区を束ねた概略,地域別数値は未取得,4.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-THA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/thailand/
東南アジア,タイ王国,南部の西海岸（クラビー・パンガー・プーケット周辺）,やや高い,ムスリムの生活圏と観光地・仏教徒の集落が混在する。,THA-andaman,087,行政区を束ねた概略,地域別数値は未取得,4.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-THA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/thailand/
東南アジア,タイ王国,中部バンコク東部などの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,THA-bangkok,088,位置の目印（面積を持たない）,地域別数値は未取得,4.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-THA,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/thailand/
東南アジア,フィリピン,南部ミンダナオ島の西寄り（コタバト・マラウィ周辺）,高い,旧BARMM集計のムスリム人口は90.9%（2020年、世帯人口）。ミンダナオ島全体を塗らない。,PHL-mindanao,089,行政区を束ねた概略,BARMM2020: 90.90% (2020年),6.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PSA2020; PEW2025,https://psa.gov.ph/content/religious-affiliation-philippines-2020-census-population-and-housing; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,フィリピン,南西端の島列（バシラン・スールー・タウィタウィ）,高い,ミンダナオからボルネオへ伸びる島々。2020年の地域集計と現在の行政区分には差がある。,PHL-sulu,090,行政区を束ねた概略,BARMM2020: 90.90% (2020年),6.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PSA2020; PEW2025,https://psa.gov.ph/content/religious-affiliation-philippines-2020-census-population-and-housing; https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,シンガポール,全域（住民の生活圏）,やや高い,小さな都市国家のマレー系・ムスリム生活圏。ヒジャブは国全体がムスリム多数である証拠ではない。,SGP-all,091,国・地域全体,地域別数値は未取得,16.1%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,カンボジア,中部（プノンペン北方、メコン川沿い）,やや高い,チャム系ムスリムの集落が点在。四角形は集落の位置を探す概略で、範囲内が一様という意味ではない。,KHM-mekong,092,緯度経度で囲った概略,地域別数値は未取得,2.0%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-KHM,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/cambodia/
東南アジア,ミャンマー,西端（バングラデシュ国境寄り）,やや高い,北ラカインのムスリム生活圏。迫害・避難で人口分布が大きく変わっており、過去の人口値を現在へ外挿しない。,MMR-rakhine,093,緯度経度で囲った概略,地域別数値は未取得,3.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
東南アジア,ミャンマー,南部ヤンゴンの一部,やや高い,都市内のムスリム居住地区で見られる可能性がある。点は位置の目印で、市全域の着用率や居住範囲を表さない。,MMR-yangon,094,位置の目印（面積を持たない）,地域別数値は未取得,3.3%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,トルコ,中央部・東部の内陸（アンカラ以東）,高い,全国2010年調査ではムスリム女性の56%がいつも、6%が大抵頭を覆う。内陸の服装傾向は定性推定で、東西の実測率差は未取得。,TUR-interior,095,緯度経度で囲った概略,地域別数値は未取得,97.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_DRESS2010; GALLUP_TUR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf; https://news.gallup.com/poll/104257/Headscarves-Secularism-Voices-From-Turkish-Women.aspx
西アジア,トルコ,西部（イスタンブール・エーゲ海岸周辺）,やや高い,大都市・海岸部には未着用女性も多い。全国値を西部固有の率とはしない。,TUR-west,096,緯度経度で囲った概略,地域別数値は未取得,97.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_DRESS2010; GALLUP_TUR,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf; https://news.gallup.com/poll/104257/Headscarves-Secularism-Voices-From-Turkish-Women.aspx
西アジア,イラク,全域（住民の生活圏）,高い,メソポタミアの都市・集落が主な生活圏。北部クルディスタン、都市、少数宗教地区の差を含む定性推定。,IRQ-all,097,国・地域全体,地域別数値は未取得,99.5%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,シリア,全域（住民の生活圏）,やや高い,内陸のムスリム生活圏を含む。沿岸部・都市・宗教少数派、避難による人口分布の変化が大きい。,SYR-all,098,国・地域全体,地域別数値は未取得,94.2%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf
西アジア,レバノン,北部（トリポリ周辺）,やや高い,宗教構成は非常に細かく分かれる。全国ムスリム女性の調査を地域全女性の着用率には使わない。,LBN-north,099,緯度経度で囲った概略,地域別数値は未取得,67.8%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; IRF-LBN; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/lebanon/; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
西アジア,レバノン,南部と東部内陸（ベカー高原）,やや高い,南部・東部のムスリム生活圏の概略。キリスト教徒・ドゥルーズ派などの地区が混在する。,LBN-south-east,100,緯度経度で囲った概略,地域別数値は未取得,67.8%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; IRF-LBN; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/lebanon/; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
西アジア,ヨルダン,全域（住民の生活圏）,高い,アンマンなど住民の生活圏。2010年のムスリム女性調査で、いつも59%、大抵24%が頭を覆う。,JOR-all,101,国・地域全体,地域別数値は未取得,97.1%,服装調査あり（地図の各範囲を直接測定したものではない）,PEW2025; PEW_DRESS2010,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.pewresearch.org/wp-content/uploads/sites/4/legacy-pdf/Muslim-American-Report-10-02-12-fix.pdf
西アジア,サウジアラビア,全域（住民の生活圏）,高い,都市・集落の住民女性を想定する定性推定。女性旅行者に髪を覆う義務がある、という説明はしない。,SAU-all,102,国・地域全体,地域別数値は未取得,92.7%,服装の質的資料あり／地域の率は未取得,PEW2025; FCDO-SAU,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://www.gov.uk/foreign-travel-advice/saudi-arabia/safety-and-security
西アジア,イエメン,全域（住民の生活圏）,高い,住民女性の頭・身体を覆う服装を想定。ニカブなど顔の覆いとヒジャブを区別する。,YEM-all,103,国・地域全体,地域別数値は未取得,99.9%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-YEM,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/yemen/
西アジア,オマーン,全域（住民の生活圏）,高い,北東部のマスカット周辺や南部サラーラなどの生活圏。砂漠を含む国の面積は出題頻度ではない。,OMN-all,104,国・地域全体,地域別数値は未取得,81.8%,宗教人口・地域分布からの弱い定性推定／着用率未取得,PEW2025; IRF-OMN,https://www.pewresearch.org/wp-content/uploads/sites/20/2025/06/PR_2025.06.09_global-religious-change_appendix-b.pdf; https://2021-2025.state.gov/reports/2023-report-on-international-religious-freedom/oman/
